id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Bass Cathedral,DJ Undertow,edm,intense,0.95,140,0.72,0.91,0.03
12,Autumn Letters,Willow Gray,folk,sad,0.30,85,0.38,0.42,0.93
13,Pixel Dreams,Neon Echo,synthwave,happy,0.70,115,0.78,0.76,0.15
14,Rage Circuit,Voltline,metal,intense,0.97,170,0.31,0.55,0.04
15,Sunday Morning,Slow Stereo,jazz,relaxed,0.32,75,0.74,0.48,0.91
16,Cloudwalker,Orbit Bloom,ambient,chill,0.25,65,0.62,0.38,0.95
17,Neon Jungle,Max Pulse,edm,happy,0.88,128,0.83,0.90,0.07
18,Rainy Window,Paper Lanterns,indie pop,sad,0.45,92,0.41,0.50,0.72
19,Deep Focus,LoRoom,lofi,focused,0.38,76,0.55,0.57,0.82
20,Bonfire Night,The Drifts,rock,happy,0.80,135,0.76,0.74,0.20
